ui,name,mesh_number
D000001,calcimycin,D03.633.100.221.173
D000002,temefos,"D02.705.400.625.800, D02.705.539.345.800, D02.886.300.692.800"
D000003,abattoirs,"J01.576.423.200.700.100, J03.540.020"
D000004,abbreviations as topic,L01.559.598.400.556.131
D000005,abdomen,A01.923.047
D000006,"abdomen, acute","C23.888.592.612.054.200, C23.888.821.030.249"
D000007,abdominal injuries,C26.017
D000008,abdominal neoplasms,C04.588.033
D000009,abdominal muscles,A02.633.567.050
D000010,abducens nerve,A08.800.800.120.030
D000011,abelson murine leukemia virus,"B04.613.807.375.525.020, B04.820.650.375.525.020"
D000012,abetalipoproteinemia,"C16.320.565.398.500.440.500, C18.452.584.500.875.440.500, C18.452.648.398.500.440.500"
D000013,congenital abnormalities,C16.131
D000014,"abnormalities, drug-induced",C16.131.042
D000015,"abnormalities, multiple",C16.131.077
D000016,"abnormalities, radiation-induced","C16.131.080, C26.733.031, G01.750.748.500.031, N06.850.460.350.850.500.031, N06.850.810.300.360.031"
D000017,abo blood-group system,"D23.050.301.290.031, D23.050.705.230.031"
D000018,abomasum,A13.869.106
D000019,abortifacient agents,"D27.505.696.875.131, D27.505.954.705.131"
D000020,"abortifacient agents, nonsteroidal","D27.505.696.875.131.100, D27.505.954.705.131.100"
D000021,"abortifacient agents, steroidal","D27.505.696.875.131.200, D27.505.954.705.131.200"
D000022,"abortion, spontaneous","C13.703.039, G08.686.784.769.496.125"
D000023,abortion applicants,M01.050
D000024,"abortion, criminal",I01.198.240.089
D000025,"abortion, eugenic",E04.520.050.050
D000026,"abortion, habitual",C13.703.039.089
D000027,"abortion, incomplete",C13.703.039.093
D000028,"abortion, induced",E04.520.050
D000029,"abortion, legal",E04.520.050.055
D000030,"abortion, missed",C13.703.039.173
D000031,"abortion, septic","C01.674.173, C13.703.039.256, C13.703.700.173"
D000032,"abortion, therapeutic",E04.520.050.060
D000033,"abortion, threatened",C13.703.090
D000034,"abortion, veterinary","C13.703.039.422, C22.021"
D000035,abreaction,F04.754.720.107
D000036,abrin,"D08.811.277.450.430.700.750.111, D12.776.503.499.249, D12.776.765.678.906.111"
D000037,abruptio placentae,"C13.703.420.078, C13.703.590.132"
D000038,abscess,"C01.830.025, C23.550.470.756.100"
D000039,peritonsillar abscess,"C01.748.561.750.500, C01.830.025.675, C07.550.781.750.500, C08.730.561.750.500, C09.775.649.750.500"
D000040,abscisic acid,"D02.241.223.268.034, D02.455.326.271.665.202.061, D02.455.426.392.368.367.379.249.024, D02.455.849.131.061, D02.455.849.765.521.500"
D000041,absenteeism,F02.784.692.107
D000042,absorption,"G01.015, G02.010, G03.015, G03.787.024, G07.690.725.015"
D000043,abstracting and indexing,L01.453.245.100
D000044,dental abutments,"E06.780.346.500, E07.695.190.175"
D000045,acacia,B01.650.940.800.575.912.250.401.025
D000046,academic medical centers,N02.278.020
D000047,academies and institutes,N03.540.052
D000048,acanthamoeba,B01.046.500.100.075.080
D000049,acanthocephala,B01.050.500.500.132
D000050,acanthocytes,"A11.118.290.330.100, A11.443.240.330.100, A15.145.229.334.330.100"
D000051,acantholysis,"C17.800.865.070, C23.550.035"
D000052,acanthosis nigricans,C17.800.621.430.530.100
D000053,acari,B01.050.500.131.166.132
D000054,acceleration,G01.482.107
D000055,accessory nerve,A08.800.800.120.060
D000056,accident prevention,N06.850.135.060
D000057,accident proneness,F01.145.015
D000058,accidental falls,N06.850.135.122
D000059,accidents,N06.850.135
D000060,"accidents, aviation",N06.850.135.185
D000061,"accidents, home",N06.850.135.217
D000062,"accidents, occupational",N06.850.135.240
D000063,"accidents, traffic",N06.850.135.392
D000064,acclimatization,"G07.025.133, G16.012.500.133"
D000065,"accommodation, ocular",G14.010
D000066,accounting,N03.219.463.030
D000066388,oil and gas industry,J01.576.655.875.750
D000066428,coal industry,J01.576.655.875.200
D000066448,driving under the influence,"F01.145.250.250, F01.145.263.500, I01.880.735.223.250, I03.125.649"
D000066449,human embryonic stem cells,A11.872.700.250.750
